"","gname","vicinity","crit1","crit2","crit3","doubtterr","multiple","success","suicide","ingroup","guncertain1","nperps","nperpcap","claimed","nkill","nkillus","nkillter","nwound","nwoundus","nwoundte","property","ransom","Assasination","Hostage","Bombing","Facility","Assault","Unknowntype","barricade","unarmedattack","Hijack","Biological","Chemical","Radiological","Nuclear","Firearm","Explosives","Fakeweapons","Incendiary","Melee","Vehicle","Sabotage","Otherweapons","Unknownweapon","NorthAm","CentralAm","SouthEastAsia","EastAsia","WesternEurope","Subsaharan","SouthAm","SouthAsia","CentralAsia","MiddleEast","Oceania","EasternEurope","nhrs","ndays","Business","Government","Police","Military","Abortionrelated","Airports","Diplomatic","Educational","Food","Journalist","Maritime","NGO","Othertarg","PrivateCitizen","Religious","Telecom","Terrorists","Tourist","Transportation","Unknowntarg","Utilities","PoliticalParty"
"1775","M12J",0,1,1,1,0,0,1,0,4544,0,7,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1776","M23",1,8,8,6,2,0,8,0,40093,0,-792,0,1,177,0,166,48,0,21,-15,0,0,0,3,0,4,1,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"1777","Maasai",0,1,1,1,-9,0,1,0,884,0,0,0,0,3,0,0,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"1778","Mabanese Defence Forces",0,3,3,3,0,2,3,0,40323,0,-297,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"1779","Maccabee Squad and the Shield of David",0,2,2,2,0,2,0,0,10028,0,-198,-198,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"1780","Macedonian nationalists",0,1,1,1,0,0,1,0,30208,0,30,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"1781","Macetos (Paramilitary Group)",0,1,1,1,0,0,1,0,1366,0,20,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"1782","Macheteros",2,37,32,33,6,7,27,0,2371,4,-1258,-1881,-12,6,4,0,9,6,0,13,0,3,0,21,3,5,1,4,0,0,0,0,0,0,12,19,0,4,0,0,0,0,2,37,0,0,0,0,0,0,0,0,0,0,0,-99,0,12,6,3,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
"1783","Macina Liberation Front (FLM)",2,9,9,6,3,2,9,0,40421,2,-485,1,2,13,0,0,11,0,0,-4,0,0,0,2,1,5,0,0,0,1,0,0,0,0,5,2,0,1,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0
"1784","Madhesh Mukti Sangram (MMS)",0,1,1,1,0,0,1,0,30257,1,-99,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1785","Madhesh Rastra Janatantrik Revolutionary (RJR) - Nepal",0,5,5,5,0,2,3,0,30135,0,-495,0,5,3,0,0,0,0,0,1,0,0,0,2,1,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
"1786","Madhesi Mukti Tigers (MMT)",1,9,9,9,0,0,5,0,30044,2,-689,0,7,1,0,0,8,0,0,-18,-9,1,0,6,0,2,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1
"1787","Madhesi People’s Rights Forum (MPRF)",0,3,2,3,1,0,3,0,20282,1,-198,0,1,5,0,0,7,0,0,-8,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"1788","Madhesi Virus Killers",0,1,1,1,0,0,1,0,30045,1,-99,0,0,0,0,0,6,0,0,-9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"1789","Mafia",0,9,9,9,-18,0,9,0,1216,0,6,0,0,17,0,0,9,0,0,2,0,8,0,1,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"1790","Magahat Militia",0,2,2,2,0,2,2,0,40510,0,-198,0,2,3,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,-198,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"1791","Mahan Madhesh Janakantri Party (MMJP)- Nepal",0,4,4,4,0,3,4,0,30136,0,-396,0,4,0,0,0,1,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"1792","Mahaz-e-Inquilab",0,3,3,3,0,3,3,0,20283,0,0,0,3,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0
"1793","Mahaz-e-Milli Islami Afghanistan",0,1,0,1,1,0,1,0,2111,0,0,0,0,2,0,0,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1794","Mahaz Fedai Tahrik Islami Afghanistan",0,5,5,5,0,0,5,0,40204,0,-394,0,4,3,0,0,24,0,0,2,-9,3,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,219,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"1795","Mahdaviyat",0,1,1,1,0,0,0,0,20284,0,2,0,0,1,0,0,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1796","Mahdi Army",4,18,18,18,0,2,17,0,20285,12,-971,0,-25,57,0,0,145,0,0,-19,-8,1,3,8,0,6,0,0,0,0,0,0,0,0,6,10,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,18,0,0,14,-90,1,2,1,0,0,0,1,0,0,0,0,1,0,11,0,0,1,0,0,0,0,0
"1797","Mahidi",0,1,0,1,1,0,1,0,20286,0,10,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"1798","Mahir Cayan Suicide Group",0,1,1,1,0,0,1,0,4025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1799","Mahsud Tribe",0,1,1,0,1,0,1,0,20287,0,0,4,-9,0,0,0,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1800","Mai Mai Bakata Katanga Militia",0,10,10,9,1,7,10,0,40341,0,-990,0,0,1,0,0,1,0,0,-10,-27,0,6,0,2,0,2,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,2,0,0,0,0,0,10,0,0,0,0,0,0,0,-594,0,0,1,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
"1801","Mai Mai Simba Militia",0,7,7,6,1,2,7,0,40042,0,-294,0,0,55,0,18,64,0,0,4,0,0,1,0,0,3,3,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,-99,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"1802","Majerten clansmen",0,1,1,1,-9,0,1,0,950,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1803","Majlis-e-Askari",0,1,1,0,1,0,1,0,40505,0,-99,0,1,7,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1804","Major Muhammad Zuhnyn Group",1,1,1,0,1,0,1,0,4859,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1805","Makhachkala Gang",0,3,4,4,1,0,3,0,40430,0,11,3,0,2,0,0,3,0,0,-8,0,1,0,0,0,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1806","Malaysian Communist Party",0,2,2,1,1,0,2,0,2538,0,0,0,0,3,0,2,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1807","Mali students",0,1,1,1,-9,0,1,0,4119,0,60,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1808","Malitia-Pro Govt",0,1,1,1,-9,0,1,0,4585,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1809","Manatari Brotherhood",0,1,1,1,0,0,1,0,1222,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1810","Mandela Soccer Club",0,0,1,1,1,0,1,0,2321,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"1811","Manipur Naga People's Army (MNPA)",0,4,4,3,1,0,4,0,40200,1,-396,0,3,0,0,0,1,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"1812","Manipur Nationalist Revolutionary Party (MNRP)",0,1,1,1,0,0,1,0,40335,1,-99,0,0,2,0,0,2,0,0,-9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1813","MANO-D",0,1,1,1,0,0,1,0,3629,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"1814","Mano Blanca",0,5,5,5,0,0,5,0,2418,3,0,0,0,0,0,0,0,0,0,3,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1815","Manuel Ascencio Padilla Group",0,1,1,1,0,0,1,0,2267,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"1816","Manuel Gonzales Patriotic Front",0,2,2,2,0,0,2,0,2177,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"1817","Manuel Jose Arce Commando",0,6,6,5,1,2,6,0,2269,0,0,0,0,1,0,0,6,0,0,5,0,1,0,5,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"1818","Manuel Rodriguez Patriotic Front (FPMR)",3,830,828,801,31,229,784,0,381,161,267,0,0,93,0,3,304,4,2,786,2,22,5,640,32,96,9,25,0,1,0,0,0,0,114,631,0,53,0,0,0,0,32,0,0,0,0,0,0,830,0,0,0,0,0,10,0,167,104,91,34,0,0,5,8,1,39,1,0,0,78,21,7,0,2,92,0,177,3
"1819","Maoist Communist Center (MCC)",4,35,34,35,2,11,34,0,715,13,1042,0,-4,226,0,0,63,0,0,-43,0,1,1,9,6,16,2,0,0,0,0,0,0,0,17,9,0,2,1,0,2,0,4,0,0,0,0,0,0,0,35,0,0,0,0,0,-99,0,5,11,0,0,0,0,1,0,0,0,0,0,8,0,1,1,0,6,0,0,2
"1820","Maoist Communist Party (MKP)",0,1,1,1,0,0,0,0,20288,0,1,0,1,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1821","Maoist Communist Party of Manipur",0,1,1,1,0,0,0,0,40122,0,-99,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1822","Maoist Farm Laborers Struggle Committee (MXSS)",0,1,1,1,0,0,1,0,1259,0,500,0,0,6,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"1823","Maoists",135,1139,1141,1100,27,171,935,0,1430,182,-52214,46,-170,1300,0,138,1130,0,11,-301,-42,51,163,453,162,262,35,9,6,0,0,0,0,0,374,470,0,123,63,3,5,0,103,0,0,1,0,0,0,4,1136,0,0,0,0,-6389,-4602,118,196,291,87,0,6,1,25,4,4,0,3,0,218,7,35,8,2,62,62,4,8
"1824","Maori",0,1,1,1,-9,0,1,0,758,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"1825","Mapuche activists",0,6,6,6,0,2,6,0,40108,2,-356,0,2,2,0,0,7,0,0,5,0,0,0,0,3,2,0,0,1,0,0,0,0,0,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"1826","Marhan Clan",0,1,1,1,1,0,1,0,20289,0,0,0,-9,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1827","Mariano Moreno National Liberation Commando",0,3,3,3,0,3,2,0,20290,3,0,0,3,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1828","Martyr Abu Ja'far Group",0,2,2,2,0,0,2,0,2950,0,1,0,0,76,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"1829","Martyr Ahmad Alishuay B Group",0,1,1,0,1,0,1,0,2278,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1830","Martyr Ali Nasir group",1,1,1,1,0,0,1,0,4654,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1831","Martyr Riyad Taha Group",0,1,1,0,1,0,1,0,2286,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1832","Martyr Sami al-Ghul Brigades",0,1,1,1,0,0,1,0,20291,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"1833","Martyrs Halim Group",0,1,1,1,0,0,1,0,2916,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"1834","Martyrs of Baalbek",0,1,1,1,0,0,1,0,2694,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1835","Martyrs of La Talanguera",0,2,2,2,0,0,1,0,3544,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1836","Martyrs of Saad Sayel",1,1,1,1,0,0,1,0,3729,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"1837","Martyrs of Tell Al-Zaltar",0,1,1,1,0,0,1,0,2957,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"1838","Martyrs revenge organization",0,1,1,1,0,0,1,0,3920,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1839","Maruseido (Marxist Youth League)",0,2,2,2,0,0,2,0,465,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1840","Marwan Al-Qawasimi and Amir Abu-Ayshah Group",1,1,1,0,1,0,1,0,40386,0,-99,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1841","Marxist-Leninist Armed Propaganda Unit",0,6,6,4,2,0,6,0,3354,1,14,0,0,8,4,0,9,0,0,2,0,4,0,2,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"1842","Marxist Peoples Fedayeen of Iran",0,1,1,1,0,0,0,0,3228,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1843","Marxist Resistance Movement",0,1,1,1,0,0,1,0,3694,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1844","Marxists",2,15,15,11,4,0,11,0,1370,1,12,0,0,13,0,0,1,0,0,11,0,2,3,6,0,1,3,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,8,0,2,0,0,1,0,5,7,0,0,0,0,0,150,2,1,3,4,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,1,0
"1845","Masada, Action and Defense Movement",0,1,1,1,0,0,1,0,4024,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1846","Maskini Liberation Front",0,3,3,3,0,0,3,0,3806,0,0,0,0,27,0,0,100,0,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"1847","Massive escape",0,1,1,1,0,0,1,0,1400,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1848","Matan Abdulle",0,1,1,1,0,0,1,0,20292,1,0,0,0,5,0,0,6,0,0,-9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"1849","Mateo Morral Insurrectionist Commandos",0,2,2,2,0,0,1,0,40117,0,-198,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"1850","Mawlawi and Mansour Group",0,1,1,0,1,0,1,0,40315,0,-99,0,0,1,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
